IdArticu;IdFamilia;Familia
721898;2;ESPECIALIDADES
721933;2;ESPECIALIDADES
721951;23;ESP.   E.F.G
721956;22;ESP.   E.F.P
721964;22;ESP.   E.F.P
721997;2;ESPECIALIDADES
722015;23;ESP.   E.F.G
722016;23;ESP.   E.F.G
722104;1;NUEVO ESPECIALIDADES
722105;2;ESPECIALIDADES
722106;1;NUEVO ESPECIALIDADES
722107;1;NUEVO ESPECIALIDADES
722154;22;ESP.   E.F.P
722162;2;ESPECIALIDADES
722168;20;ESP. PVP > 143,05 €
722184;2;ESPECIALIDADES
722185;20;ESP. PVP > 143,05 €
722200;2;ESPECIALIDADES
722215;2;ESPECIALIDADES
722304;2;ESPECIALIDADES
722314;2;ESPECIALIDADES
722319;2;ESPECIALIDADES
722321;22;ESP.   E.F.P
722332;1;NUEVO ESPECIALIDADES
722348;2;ESPECIALIDADES
722363;23;ESP.   E.F.G
722380;1;NUEVO ESPECIALIDADES
722382;2;ESPECIALIDADES
722383;1;NUEVO ESPECIALIDADES
722385;23;ESP.   E.F.G
722403;1;NUEVO ESPECIALIDADES
722404;2;ESPECIALIDADES
722406;2;ESPECIALIDADES
722407;2;ESPECIALIDADES
722491;2;ESPECIALIDADES
722701;2;ESPECIALIDADES
722710;2;ESPECIALIDADES
722926;22;ESP.   E.F.P
722941;2;ESPECIALIDADES
723106;2;ESPECIALIDADES
723130;2;ESPECIALIDADES
723295;2;ESPECIALIDADES
723296;2;ESPECIALIDADES
723297;2;ESPECIALIDADES
723298;2;ESPECIALIDADES
723299;2;ESPECIALIDADES
723300;2;ESPECIALIDADES
723301;2;ESPECIALIDADES
723302;2;ESPECIALIDADES
723304;2;ESPECIALIDADES
723305;2;ESPECIALIDADES
723307;2;ESPECIALIDADES
723308;1;NUEVO ESPECIALIDADES
723309;2;ESPECIALIDADES
723310;2;ESPECIALIDADES
723311;2;ESPECIALIDADES
723312;2;ESPECIALIDADES
723313;2;ESPECIALIDADES
723314;2;ESPECIALIDADES
723315;2;ESPECIALIDADES
723316;2;ESPECIALIDADES
723339;2;ESPECIALIDADES
723345;20;ESP. PVP > 143,05 €
723346;20;ESP. PVP > 143,05 €
723347;2;ESPECIALIDADES
723358;22;ESP.   E.F.P
723368;2;ESPECIALIDADES
723373;23;ESP.   E.F.G
723419;1;NUEVO ESPECIALIDADES
723424;2;ESPECIALIDADES
723425;2;ESPECIALIDADES
723436;2;ESPECIALIDADES
723444;2;ESPECIALIDADES
